"id","nom","code","population","revenu_hab","revenu_hab_moyen","revenu_hab_rang","dmto_2012","dmto_rang_2012","fpic_2012","fpic_rang_2012","total_2012","total_rang_2012","dmto_hab_2012","dmto_hab_rang_2012","fpic_hab_2012","fpic_hab_rang_2012","total_hab_2012","total_hab_rang_2012"
"11","Ile-de-France","IDF","11728240","16924","13284","1","-224622258","1","-78816023","1","-303438281","1","-19.15","1","-6.72","1","-25.87","1"
"21","Champagne-Ardenne","C-A","1337953","12172","13284","12","17049200","6","2307929","10","19357129","7","12.74","4","1.72","9","14.47","4"
"22","Picardie","PIC","1911157","11901","13284","17","11534587","10","5395793","5","16930380","11","6.04","12","2.82","6","8.86","11"
"23","Haute-Normandie","H-N","1832942","12264","13284","10","-653660","6","-426971","5","-1080631","5","-0.36","6","-0.23","5","-0.59","5"
"24","Centre","CEN","2538590","12681","13284","6","20227040","4","68539","17","20295579","5","7.97","8","0.03","17","7.99","12"
"25","Basse-Normandie","B-N","1470880","11880","13284","18","9919263","12","4275128","7","14194391","13","6.74","11","2.91","5","9.65","10"
"26","Bourgogne","BOU","1642440","12331","13284","9","16417099","7","1791598","12","18208697","8","10.00","6","1.09","12","11.09","6"
"31","Nord-Pas-de-Calais","NPDC","4033197","10998","13284","22","-4944496","4","16843163","1","11898667","15","-1.23","5","4.18","2","2.95","16"
"41","Lorraine","LOR","2350112","11903","13284","16","23627000","2","2501896","9","26128896","2","10.05","5","1.06","13","11.12","5"
"42","Alsace","ALS","1843053","13254","13284","4","6987979","14","-2563887","3","4424092","16","3.79","13","-1.39","3","2.40","17"
"43","Franche-Comté","F-C","1168208","12022","13284","15","18940545","5","1213583","13","20154128","6","16.21","2","1.04","14","17.25","2"
"52","Pays-de-La-Loire","PDL","3539048","12187","13284","11","8770615","13","9151566","4","17922181","9","2.48","15","2.59","8","5.06","14"
"53","Bretagne","BRE","3175064","12403","13284","8","11248123","11","11827666","3","23075789","3","3.54","14","3.73","3","7.27","13"
"54","Poitou-Charentes","P-C","1760575","12037","13284","14","12198493","9","4854170","6","17052663","10","6.93","10","2.76","7","9.69","9"
"72","Aquitaine","AQU","3206137","12743","13284","5","-4725651","5","2133942","11","-2591709","4","-1.47","4","0.67","16","-0.81","4"
"73","Midi-Pyrénées","M-P","2862707","12433","13284","7","25695776","1","3482911","8","29178687","1","8.98","7","1.22","10","10.19","7"
"74","Limousin","LIM","741785","11726","13284","20","15870842","8","896156","16","16766998","12","21.40","1","1.21","11","22.60","1"
"82","Rhone-Alpes","R-A","6174040","13479","13284","3","-54561889","3","-15429174","2","-69991063","3","-8.84","3","-2.50","2","-11.34","3"
"83","Auvergne","AUV","1343964","12048","13284","13","21688295","3","1167829","14","22856124","4","16.14","3","0.87","15","17.01","3"
"91","Languedoc-Roussillon","L-R","2610890","11850","13284","19","-37248","7","12294167","2","12256919","14","-0.01","7","4.71","1","4.69","15"
"93","Provence-Alpes-Côte-d'Azur","PACA","4889053","13569","13284","2","-88445590","2","-2260455","4","-90706045","2","-18.09","2","-0.46","4","-18.55","2"
"94","Corse","COR","305674","11549","13284","21","2124284","15","902788","15","3027072","17","6.95","9","2.95","4","9.90","8"
